bed,bath,square,city,price,year_built,home_type
3.0,1.5,2580.0,HOBOKEN,3500.0,1967,APARTMENT
1.0,1.0,550.0,Hoboken,1975.0,1,APARTMENT
2.0,1.0,792,Hoboken,2700.0,1,APARTMENT
1.0,1.0,709.0,Hoboken,3400.0,1,APARTMENT
2.0,2.0,1167.0,Hoboken,4125.0,1,APARTMENT
3.0,2.0,1410.0,Hoboken,5675.0,1,APARTMENT
2.0,2.0,1122.0,Hoboken,4400.0,1,APARTMENT
1.0,1.0,870.0,Hoboken,2695.0,2007,APARTMENT
1.0,1.0,850.0,Hoboken,2675.0,2006,APARTMENT
1.0,1.0,454.0,HOBOKEN,2200.0,1910,APARTMENT
2.0,1.0,685,Hoboken,2400.0,,
2.0,1.0,744,Hoboken,2700.0,1,APARTMENT
2.0,1.0,1000.0,Hoboken,2600.0,,
3.0,1.0,1100.0,Hoboken,2100.0,1,APARTMENT
2.0,2.0,1000.0,Hoboken,2900.0,1970,APARTMENT
1.0,1.0,800.0,Hoboken,1900.0,,
2.0,1.0,950.0,Hoboken,2597.0,,
1.0,1,1095,None,1600.0,,
1.0,1.0,735.0,HOBOKEN,3100.0,,
1.0,1.0,976,Hoboken,2400.0,,
1.0,1.0,685.0,Hoboken,2400.0,,
1.0,1.0,824.0,Hoboken,3600.0,1,APARTMENT
2.0,2.0,875.0,Hoboken,3505.0,1,APARTMENT
2.0,2.0,754,Hoboken,2600.0,,
1.0,1.0,824.0,Hoboken,3600.0,1,APARTMENT
2.0,2.0,1361.0,HOBOKEN,5000.0,,
1.0,1.0,553.0,Hoboken,2150.0,1,APARTMENT
2.0,2.0,875.0,Hoboken,3505.0,1,APARTMENT
2.0,2.0,1361.0,HOBOKEN,5000.0,,
1.0,1.0,943.0,Hoboken,2750.0,1920,MULTI_FAMILY
1.0,1.0,1073,Hoboken,1825.0,,
3.0,2.0,1700.0,Hoboken,4995.0,1,APARTMENT
1.0,1.0,650.0,Hoboken,2150.0,1,APARTMENT
2.0,2.0,1000.0,Hoboken,2900.0,1,MULTI_FAMILY
2.0,2.0,900.0,Hoboken,2900.0,,
2.0,2.0,1075.0,Hoboken,3300.0,1,APARTMENT
2.0,1.0,698.0,Hoboken,2790.0,1,APARTMENT
2.0,2.0,1050.0,Hoboken,2900.0,1,CONDO
1.0,1.0,700.0,HOBOKEN,2800.0,1901,CONDO
1.0,1.0,1009,Hoboken,2800.0,1,APARTMENT
1.0,2.0,821.0,Hoboken,2600.0,1901,APARTMENT
1.0,1.0,800.0,Hoboken,2200.0,1,APARTMENT
1.0,1.0,830.0,HOBOKEN,3000.0,1920,CONDO
4.0,3.0,2222.0,HOBOKEN,8150.0,1900,APARTMENT
3.0,1.0,1095,Hoboken,2950.0,1,APARTMENT
2.0,3.0,1500.0,HOBOKEN,4000.0,1901,SINGLE_FAMILY
3.0,2.0,700.0,Hoboken,3250.0,1,APARTMENT
2.0,2.0,1050.0,Hoboken,2900.0,1,APARTMENT
1.0,1.0,893,Hoboken,1500.0,,
2.0,1.0,1100.0,Hoboken,3000.0,1,APARTMENT
3.0,1.0,1250.0,Jersey City,1800.0,,
2.0,1.0,716,JERSEY CITY,1600.0,,
1.0,1,1095,None,2905.0,,
2.0,1,1095,None,3795.0,,
2.0,2.0,1050.0,Hoboken,2900.0,2002,APARTMENT
2.0,1.0,726,Hoboken,2200.0,1,MULTI_FAMILY
2.0,2.0,958.0,Jersey City,2795.0,1,APARTMENT
